name,parent,type,size
universaldetector.cpython-39.pyc,__pycache__,file,5797
utf8prober.cpython-39.pyc,__pycache__,file,1958
version.cpython-39.pyc,__pycache__,file,405
__init__.cpython-39.pyc,__pycache__,file,1866
ansi.py,colorama,file,2522
ansitowin32.py,colorama,file,10517
initialise.py,colorama,file,1915
win32.py,colorama,file,5404
winterm.py,colorama,file,6438
__init__.py,colorama,file,239
__pycache__,colorama,directory,21483
ansi.cpython-39.pyc,__pycache__,file,3195
ansitowin32.cpython-39.pyc,__pycache__,file,7661
initialise.cpython-39.pyc,__pycache__,file,1677
win32.cpython-39.pyc,__pycache__,file,3909
winterm.cpython-39.pyc,__pycache__,file,4631
__init__.cpython-39.pyc,__pycache__,file,410
compat.py,distlib,file,41495
database.py,distlib,file,51059
index.py,distlib,file,20739
locators.py,distlib,file,51965
manifest.py,distlib,file,14811
markers.py,distlib,file,4989
metadata.py,distlib,file,39109
resources.py,distlib,file,10820
scripts.py,distlib,file,17720
t32.exe,distlib,file,96768
t64-arm.exe,distlib,file,180736
t64.exe,distlib,file,105984
util.py,distlib,file,67766
version.py,distlib,file,23513
w32.exe,distlib,file,90112
w64-arm.exe,distlib,file,166400
w64.exe,distlib,file,99840
wheel.py,distlib,file,42943
__init__.py,distlib,file,581
_backport,distlib,directory,250847
__pycache__,distlib,directory,294603
misc.py,_backport,file,971
shutil.py,_backport,file,25707
sysconfig.cfg,_backport,file,2617
sysconfig.py,_backport,file,26854
tarfile.py,_backport,file,92628
__init__.py,_backport,file,274
__pycache__,_backport,directory,101796
misc.cpython-39.pyc,__pycache__,file,1070
shutil.cpython-39.pyc,__pycache__,file,21644
sysconfig.cpython-39.pyc,__pycache__,file,15934
tarfile.cpython-39.pyc,__pycache__,file,62698
__init__.cpython-39.pyc,__pycache__,file,450
compat.cpython-39.pyc,__pycache__,file,31788
database.cpython-39.pyc,__pycache__,file,42447
index.cpython-39.pyc,__pycache__,file,17256
locators.cpython-39.pyc,__pycache__,file,38220
manifest.cpython-39.pyc,__pycache__,file,10159
markers.cpython-39.pyc,__pycache__,file,4941
metadata.cpython-39.pyc,__pycache__,file,26554
resources.cpython-39.pyc,__pycache__,file,10977
scripts.cpython-39.pyc,__pycache__,file,11209
util.cpython-39.pyc,__pycache__,file,52572
version.cpython-39.pyc,__pycache__,file,20322
wheel.cpython-39.pyc,__pycache__,file,27135
__init__.cpython-39.pyc,__pycache__,file,1023
constants.py,html5lib,file,83464
html5parser.py,html5lib,file,117186
serializer.py,html5lib,file,15759
_ihatexml.py,html5lib,file,16728
_inputstream.py,html5lib,file,32353
_tokenizer.py,html5lib,file,77040
_utils.py,html5lib,file,4931
__init__.py,html5lib,file,1160
filters,html5lib,directory,74131
treeadapters,html5lib,directory,8017
treebuilders,html5lib,directory,103445
treewalkers,html5lib,directory,52367
_trie,html5lib,directory,7003
__pycache__,html5lib,directory,249130
alphabeticalattributes.py,filters,file,919
base.py,filters,file,286
inject_meta_charset.py,filters,file,2945
lint.py,filters,file,3643
optionaltags.py,filters,file,10588
sanitizer.py,filters,file,26897
whitespace.py,filters,file,1214
__init__.py,filters,file,0
__pycache__,filters,directory,27639
alphabeticalattributes.cpython-39.pyc,__pycache__,file,1289
base.cpython-39.pyc,__pycache__,file,837
inject_meta_charset.cpython-39.pyc,__pycache__,file,1843
lint.cpython-39.pyc,__pycache__,file,2585
optionaltags.cpython-39.pyc,__pycache__,file,2730
sanitizer.cpython-39.pyc,__pycache__,file,16853
whitespace.cpython-39.pyc,__pycache__,file,1335
__init__.cpython-39.pyc,__pycache__,file,167
genshi.py,treeadapters,file,1715
sax.py,treeadapters,file,1776
__init__.py,treeadapters,file,679
__pycache__,treeadapters,directory,3847
genshi.cpython-39.pyc,__pycache__,file,1512
sax.cpython-39.pyc,__pycache__,file,1431
__init__.cpython-39.pyc,__pycache__,file,904
base.py,treebuilders,file,14565
dom.py,treebuilders,file,8925
etree.py,treebuilders,file,12836
etree_lxml.py,treebuilders,file,14766
__init__.py,treebuilders,file,3592
__pycache__,treebuilders,directory,48761
base.cpython-39.pyc,__pycache__,file,11283
dom.cpython-39.pyc,__pycache__,file,9420
etree.cpython-39.pyc,__pycache__,file,11788
etree_lxml.cpython-39.pyc,__pycache__,file,12971
__init__.cpython-39.pyc,__pycache__,file,3299
base.py,treewalkers,file,7476
dom.py,treewalkers,file,1413
etree.py,treewalkers,file,4551
etree_lxml.py,treewalkers,file,6357
genshi.py,treewalkers,file,2309
__init__.py,treewalkers,file,5719
__pycache__,treewalkers,directory,24542
base.cpython-39.pyc,__pycache__,file,6964
dom.cpython-39.pyc,__pycache__,file,1699
etree.cpython-39.pyc,__pycache__,file,3461
etree_lxml.cpython-39.pyc,__pycache__,file,6598
genshi.cpython-39.pyc,__pycache__,file,1855
__init__.cpython-39.pyc,__pycache__,file,3965
py.py,_trie,file,1775
_base.py,_trie,file,1013
__init__.py,_trie,file,109
__pycache__,_trie,directory,4106
py.cpython-39.pyc,__pycache__,file,2224
_base.cpython-39.pyc,__pycache__,file,1563
__init__.cpython-39.pyc,__pycache__,file,319
constants.cpython-39.pyc,__pycache__,file,66307
html5parser.cpython-39.pyc,__pycache__,file,90978
serializer.cpython-39.pyc,__pycache__,file,10780
_ihatexml.cpython-39.pyc,__pycache__,file,13738
_inputstream.cpython-39.pyc,__pycache__,file,21597
_tokenizer.cpython-39.pyc,__pycache__,file,39692
_utils.cpython-39.pyc,__pycache__,file,4769
__init__.cpython-39.pyc,__pycache__,file,1269
codec.py,idna,file,3453
compat.py,idna,file,360
core.py,idna,file,12826
idnadata.py,idna,file,42350
intranges.py,idna,file,1933
package_data.py,idna,file,21
uts46data.py,idna,file,201849
__init__.py,idna,file,849
__pycache__,idna,directory,183677
codec.cpython-39.pyc,__pycache__,file,2845
compat.cpython-39.pyc,__pycache__,file,651
core.cpython-39.pyc,__pycache__,file,9119
idnadata.cpython-39.pyc,__pycache__,file,22105
intranges.cpython-39.pyc,__pycache__,file,1827
package_data.cpython-39.pyc,__pycache__,file,178
uts46data.cpython-39.pyc,__pycache__,file,146138
__init__.cpython-39.pyc,__pycache__,file,814
exceptions.py,msgpack,file,1081
ext.py,msgpack,file,6088
fallback.py,msgpack,file,38026
_version.py,msgpack,file,20
__init__.py,msgpack,file,1118
__pycache__,msgpack,directory,36325
exceptions.cpython-39.pyc,__pycache__,file,1819
ext.cpython-39.pyc,__pycache__,file,6247
fallback.cpython-39.pyc,__pycache__,file,26693
_version.cpython-39.pyc,__pycache__,file,185
__init__.cpython-39.pyc,__pycache__,file,1381
markers.py,packaging,file,8487
requirements.py,packaging,file,4676
specifiers.py,packaging,file,30964
tags.py,packaging,file,15714
utils.py,packaging,file,4200
version.py,packaging,file,14665
_manylinux.py,packaging,file,11488
_musllinux.py,packaging,file,4378
_structures.py,packaging,file,1629
__about__.py,packaging,file,661
__init__.py,packaging,file,497
__pycache__,packaging,directory,80347
markers.cpython-39.pyc,__pycache__,file,9420
requirements.cpython-39.pyc,__pycache__,file,3941
specifiers.cpython-39.pyc,__pycache__,file,22177
tags.cpython-39.pyc,__pycache__,file,12256
utils.cpython-39.pyc,__pycache__,file,3578
version.cpython-39.pyc,__pycache__,file,13119
_manylinux.cpython-39.pyc,__pycache__,file,7261
_musllinux.cpython-39.pyc,__pycache__,file,4576
_structures.cpython-39.pyc,__pycache__,file,3049
__about__.cpython-39.pyc,__pycache__,file,557
__init__.cpython-39.pyc,__pycache__,file,413
build.py,pep517,file,3457
check.py,pep517,file,6084
colorlog.py,pep517,file,4098
compat.py,pep517,file,1253
dirtools.py,pep517,file,1129
envbuild.py,pep517,file,6100
meta.py,pep517,file,2463
wrappers.py,pep517,file,13429
__init__.py,pep517,file,130
in_process,pep517,directory,22882
__pycache__,pep517,directory,34419
_in_process.py,in_process,file,11201
__init__.py,in_process,file,563
__pycache__,in_process,directory,11118
_in_process.cpython-39.pyc,__pycache__,file,10236
__init__.cpython-39.pyc,__pycache__,file,882
build.cpython-39.pyc,__pycache__,file,3528
check.cpython-39.pyc,__pycache__,file,5075
colorlog.cpython-39.pyc,__pycache__,file,2905
compat.cpython-39.pyc,__pycache__,file,1496
dirtools.cpython-39.pyc,__pycache__,file,1314
envbuild.cpython-39.pyc,__pycache__,file,4474
meta.cpython-39.pyc,__pycache__,file,2887
wrappers.cpython-39.pyc,__pycache__,file,12460
__init__.cpython-39.pyc,__pycache__,file,280
py31compat.py,pkg_resources,file,562
__init__.py,pkg_resources,file,108287
__pycache__,pkg_resources,directory,100920
py31compat.cpython-39.pyc,__pycache__,file,617
